[ 2024-12-14 10:16:13,703 ] 21 root - INFO - Exported train and test file path.
[ 2024-12-14 10:16:18,340 ] 96 pymongo.serverSelection - INFO - {"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 675d0d9ab83377e368491c56, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('cluster0-shard-00-00.pcljl.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('cluster0-shard-00-01.pcljl.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('cluster0-shard-00-02.pcljl.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "675d0d9ab83377e368491c56"}, "remainingTimeMS": 30}
[ 2024-12-14 10:16:23,810 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-14 10:16:23,810 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-14 10:16:23,810 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-14 10:16:24,043 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-14 10:16:24,053 ] 26 root - INFO - Data Ingestion is completed
[ 2024-12-14 10:16:24,053 ] 27 root - INFO - Data Validataion initiated
[ 2024-12-14 10:16:24,235 ] 32 root - INFO - Required number of columns is 2
[ 2024-12-14 10:16:24,236 ] 33 root - INFO - Dataframe has columns:32
[ 2024-12-14 10:16:24,236 ] 32 root - INFO - Required number of columns is 2
[ 2024-12-14 10:16:24,236 ] 33 root - INFO - Dataframe has columns:32
